tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude
51254,DPW Maintained,Rhamnus alaternus :: Italian Buckthorn,258 Maynard St,1,Sidewalk: Curb side : Cutout,Private,5/30/2008,5,3x3,37.72941268,-122.4246668
221466,DPW Maintained,Acacia stenophylla :: Shoestring Acacia,300x Guerrero St,11,Median : Cutout,DPW,6/19/2015,2,Width 3ft,37.7651302,-122.4241506
49713,Permitted Site,Pyrus calleryana :: Ornamental Pear,20 Arco Way,1,Sidewalk: Curb side : Cutout,Private,6/3/2003,,,37.72725419,-122.4440967
112887,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,738 09th Ave,1,Sidewalk: Curb side : Cutout,Private,8/26/2015,,,37.77448723,-122.4668746
57111,Permitted Site,Pyrus calleryana :: Ornamental Pear,1378 Pacific Ave,1,Sidewalk: Curb side : Cutout,Private,8/9/2016,3,,37.79558015,-122.4179416
59014,Permitted Site,Melaleuca ericifolia :: Heath Melaleuca,3758 20th St,1,Sidewalk: Curb side : Cutout,Private,3/23/1998,,,37.75835499,-122.4248312
60302,Permitted Site,Lophostemon confertus :: Brisbane Box,1200 Irving St,1,Sidewalk: Curb side : Cutout,Private,10/5/1982,,3x3,37.76391866,-122.4706322
56857,DPW Maintained,Maytenus boaria :: Mayten,2600 Noriega St,1,Sidewalk: Curb side : Cutout,Private,2/4/1986,6,,37.75368113,-122.491644
41011,Permitted Site,Melaleuca quinquenervia :: Cajeput,1200 Illinois St,3,Sidewalk: Curb side : Cutout,Private,10/19/1999,,,37.75630944,-122.3872395
61802,Permitted Site,Maytenus boaria :: Mayten,527 Waller St,1,Sidewalk: Curb side : Cutout,Private,5/25/1985,,,37.77082756,-122.4324112
36430,Permitted Site,Prunus serrulata :: Ornamental Cherry,435 Montecito Ave,3,Sidewalk: Curb side : Cutout,Private,5/18/1998,,,37.72938233,-122.4570238
52168,Permitted Site,Koelreuteria paniculata :: Golden Rain Tree,1064 Florida St,1,Sidewalk: Curb side : Cutout,Private,11/1/2005,,,37.75490539,-122.4103642
85583,DPW Maintained,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,1500 Palou Ave,1,Sidewalk: Curb side : Cutout,DPW,3/21/2007,3,3x3,37.73299645,-122.3890529
